Year,RespondentID,CollectorID,Department,QUESTION1,QUESTION2,QUESTION3,QUESTION4,QUESTION5,QA7,QA8,QA9,QA10,QA11,QD12,QD13,QD14,QD15,QB16,QC1,QC2,QC3,QC4,QC5,QB17,QB18,QB19,QB20,QB21
2014,3201127099,51998354,Support,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Good,Good,Good,Good,Good,Agree,Agree,,Agree,Neutral
2014,3174662871,51998354,Support,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Excellent,Excellent,Excellent,Excellent,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2014,3174657313,51998354,Support,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Excellent,Excellent,Excellent,Excellent,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2014,3173363042,51998354,Support,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Excellent,Good,Good,Good,Good,Agree,Agree,Neutral,Agree,Agree
2014,3173357643,51998354,Support,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Excellent,Excellent,Good,Excellent,Excellent,Agree,Agree,Agree,Agree,Agree
2014,3200003606,51998354,Support,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Poor,Fair,Poor,Fair,Fair,Agree,Neutral,Agree,Agree,Neutral
2014,3187016115,51998354,Support,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree
2014,3179900117,51998354,Support,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Excellent,Good,Good,Good,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2014,3178563361,51998354,Support,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Excellent,Excellent,Excellent,Excellent,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2014,3174676110,51998354,Support,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Fair,Fair,Fair,Good,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2014,3201895502,51998354,Support,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Good,Excellent,Excellent,Good,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2014,3201894849,51998354,Support,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3201885665,51998354,Support,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3200810163,51998354,Support,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Fair,Fair,Fair,Good,Good,Agree,Agree,Neutral,Agree,Neutral
2014,3200506058,51998354,Support,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Fair,Good,Good,Good,Good,Strongly Agree,Strongly Agree,Agree,Agree,Agree
2014,3199985172,51998354,Support,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Good,Good,Fair,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2014,3184407646,51998354,Support,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Fair,Fair,Poor,Good,Good,Agree,Agree,Agree,Neutral,Agree
2014,3184245274,51998354,Support,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree
2014,3183811268,51998354,Support,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Fair,Good,Good,Good,Fair,Neutral,Agree,Disagree,Agree,Neutral
2014,3175626523,51998354,Support,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Excellent,Excellent,Excellent,Excellent,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2014,3174997066,51998354,Support,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Fair,Fair,Fair,Fair,Good,Agree,Agree,Agree,Agree,Neutral
2014,3174939647,51998354,Support,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Poor,Poor,Poor,Fair,Poor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2014,3174692754,51998354,Support,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Poor,Poor,Good,Poor,Good,Disagree,Agree,Strongly Disagree,Agree,Neutral
2014,3201901938,51998354,Operations,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,,Strongly Agree,Neutral,,Disagree,Neutral,Fair,Fair,Fair,Fair,Fair,Agree,Agree,Agree,Agree,Strongly Agree
2014,3201177459,51998354,Operations,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Good,Good,Good,Good,Good,Neutral,Neutral,Neutral,Neutral,Neutral
2014,3201147801,51998354,Operations,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Good,Fair,Fair,Good,Fair,Neutral,Agree,Neutral,Agree,Agree
